base_composite_rank,player,position,team,bye,base_quality_score,source_count,position_conflict,draftsheets_value,draftsheets_position_tier,draftsheets_overall_value_rank,jeff_mans_rank,qb_chart_rank,qb_chart_tier,qb_chart_2qb_adp
1,Josh Allen,QB,BUF,7,99.809,3,False,117,3,2,1,1,TIER 1a,1.6
2,Bijan Robinson,RB,ATL,11,98.823,2,False,116,1,3,4,,,
3,Ja'Marr Chase,WR,CIN,6,98.65,2,False,103,1,5,3,,,
4,Jahmyr Gibbs,RB,DET,6,97.739,2,False,122,1,1,10,,,
5,Lamar Jackson,QB,BAL,13,97.611,3,False,80,3,11,2,2,TIER 1a,4.8
6,Puka Nacua,WR,LAR,11,96.852,2,False,106,1,4,11,,,
7,Amon-Ra St. Brown,WR,DET,6,96.507,2,False,89,1,8,9,,,
8,Drake Maye,QB,NE,11,96.068,3,False,77,4,13,6,3,TIER 1a,11.1
9,Joe Burrow,QB,CIN,6,94.567,3,False,69,4,17,7,5,TIER 1b,4.5
10,Ashton Jeanty,RB,LV,13,94.428,2,False,66,2,19,8,,,
11,Jaxon Smith-Njigba,WR,SEA,11,94.418,2,False,100,1,6,19,,,
12,James Cook III,RB,BUF,7,94.152,2,False,78,2,12,15,,,
13,Caleb Williams,QB,CHI,10,93.369,3,False,60,5,27,5,4,TIER 1a,21.3
14,Christian McCaffrey,RB,SF,8,93.28,2,False,88,1,9,21,,,
15,Jayden Daniels,QB,WAS,7,92.847,3,False,76,4,14,16,6,TIER 1b,12.7
16,Justin Jefferson,WR,MIN,6,92.748,2,False,65,2,21,13,,,
17,CeeDee Lamb,WR,DAL,14,92.708,2,False,66,1,20,14,,,
18,Jonathan Taylor,RB,IND,13,92.447,2,False,98,1,7,26,,,
19,Jalen Hurts,QB,PHI,10,92.174,3,False,74,4,15,17,7,TIER 1b,23.3
20,De'Von Achane,RB,MIA,6,91.624,2,False,68,2,18,20,,,
21,Jaxson Dart,QB,NYG,8,90.951,3,False,61,6,26,12,8,TIER 1b,28.9
22,Saquon Barkley,RB,PHI,10,89.018,2,False,65,2,22,27,,,
23,Trevor Lawrence,QB,JAX,7,89.005,3,False,63,5,23,22,9,TIER 1b,16.0
24,Drake London,WR,ATL,11,87.526,2,False,73,2,16,38,,,
25,Omarion Hampton,RB,LAC,7,87.254,2,False,51,2,41,18,,,
26,Nico Collins,WR,HOU,8,87.23,2,False,57,2,34,24,,,
27,Justin Herbert,QB,LAC,7,86.997,3,False,59,5,31,23,10,TIER 1b,17.4
28,Derrick Henry,RB,BAL,13,86.787,2,False,82,2,10,46,,,
29,A.J. Brown,WR,NE,11,86.781,2,False,59,2,29,30,,,
30,Kenneth Walker,RB,KC,5,86.766,2,False,56,2,35,25,,,
31,Chase Brown,RB,CIN,6,86.121,2,False,61,2,25,36,,,
32,Dak Prescott,QB,DAL,14,85.926,3,False,60,5,28,28,12,TIER 1c (END OF QB1 TIER),6.9
33,Chris Olave,WR,NO,8,84.835,2,False,54,3,37,31,,,
34,Jeremiyah Love,RB,ARI,14,84.678,2,False,57,3,33,35,,,
35,George Pickens,WR,DAL,14,84.308,2,False,59,2,30,39,,,
36,Javonte Williams,RB,DAL,14,82.692,2,False,51,3,40,37,,,
37,Patrick Mahomes,QB,KC,5,82.274,3,False,55,6,36,34,15,TIER 1c (END OF QB1 TIER),20.7
38,Brock Purdy,QB,SF,8,82.045,3,False,62,6,24,44,16,TIER 2a,24.4
39,DeVonta Smith,WR,PHI,10,82.042,2,False,41,3,49,32,,,
40,Matthew Stafford,QB,LAR,11,81.63,3,False,43,6,48,29,13,TIER 1c (END OF QB1 TIER),21.9
41,Kyren Williams,RB,LAR,11,81.396,2,False,54,3,39,43,,,
42,Bo Nix,QB,DEN,10,81.231,3,False,46,6,44,33,14,TIER 1c (END OF QB1 TIER),26.5
43,Brock Bowers,TE,LV,13,80.165,2,False,44,2,46,42,,,
44,Josh Jacobs,RB,GB,11,79.347,2,False,54,3,38,52,,,
45,Travis Etienne Jr.,RB,NO,8,78.563,2,False,41,4,50,45,,,
46,Breece Hall,RB,NYJ,13,78.539,2,False,48,3,43,51,,,
47,Malik Nabers,WR,NYG,8,78.248,2,False,49,3,42,53,,,
48,Jared Goff,QB,DET,6,77.939,3,False,37,6,57,40,11,TIER 1c (END OF QB1 TIER),17.2
49,Trey McBride,TE,ARI,14,77.598,2,False,41,3,51,48,,,
50,D'Andre Swift,RB,CHI,10,77.213,2,False,39,4,54,47,,,
51,Cam Skattebo,RB,NYG,8,75.681,2,False,44,4,47,59,,,
52,Rome Odunze,WR,CHI,10,75.119,2,False,25,4,71,41,,,
53,Quinshon Judkins,RB,CLE,11,74.105,2,False,37,4,58,56,,,
54,Tetairoa McMillan,WR,CAR,5,73.908,2,False,40,3,53,61,,,
55,Rashee Rice,WR,KC,5,73.583,2,False,59,3,32,80,,,
56,Zay Flowers,WR,BAL,13,73.09,2,False,46,3,45,71,,,
57,Garrett Wilson,WR,NYJ,13,73.006,2,False,33,3,62,57,,,
58,Emeka Egbuka,WR,TB,10,72.73,2,False,39,3,55,64,,,
59,Ladd McConkey,WR,LAC,7,72.119,2,False,32,3,65,58,,,
60,Bucky Irving,RB,TB,10,71.765,2,False,37,4,56,67,,,
61,Mike Evans,WR,SF,8,71.005,2,False,23,4,75,54,,,
62,DJ Moore,WR,BUF,7,70.966,2,False,23,4,74,55,,,
