position,value_rank_at_position,player,displayed_value,position_tier,source_row
QB,1,Josh Allen,114,1,5
QB,2,Lamar Jackson,75,2,6
QB,3,Drake Maye,72,2,7
QB,4,Jayden Daniels,70,2,8
QB,5,Jalen Hurts,69,2,9
QB,6,Joe Burrow,65,2,10
QB,7,Trevor Lawrence,58,2,11
QB,8,Brock Purdy,57,2,13
QB,9,Dak Prescott,56,2,14
QB,10,Jaxson Dart,56,2,12
QB,11,Caleb Williams,55,2,15
QB,12,Justin Herbert,54,2,16
QB,13,Patrick Mahomes II,48,2,17
QB,14,Bo Nix,44,3,18
QB,15,Matthew Stafford,39,3,19
QB,16,Jared Goff,34,3,20
QB,17,Baker Mayfield,28,3,21
QB,18,Kyler Murray,23,3,22
QB,19,Tyler Shough,20,3,23
QB,20,Jordan Love,14,3,24
QB,21,Malik Willis,11,4,25
QB,22,Daniel Jones,7,4,26
QB,23,Sam Darnold,6,4,27
QB,24,C.J. Stroud,0,4,28
QB,25,Bryce Young,-10,4,29
QB,26,Cam Ward,-18,4,30
QB,27,Geno Smith,-24,5,31
QB,28,Jacoby Brissett,-24,5,32
QB,29,Aaron Rodgers,-33,5,33
QB,30,Fernando Mendoza,-56,6,34
QB,31,Deshaun Watson,-94,7,35
QB,32,Tua Tagovailoa,-104,7,36
QB,33,Michael Penix Jr.,-110,7,37
QB,34,Shedeur Sanders,-143,8,38
QB,35,Kirk Cousins,-152,8,39
QB,36,J.J. McCarthy,-183,9,40
QB,37,Carson Beck,-185,9,41
QB,38,Ty Simpson,-186,9,42
QB,39,Justin Fields,-191,9,43
QB,40,Mac Jones,-192,9,44
TE,1,Brock Bowers,40,1,48
TE,2,Trey McBride,35,1,49
TE,3,Colston Loveland,24,2,50
TE,4,Tyler Warren,12,3,51
TE,5,Tucker Kraft,10,3,53
TE,6,Sam LaPorta,7,3,54
TE,7,George Kittle,6,3,56
TE,8,Harold Fannin Jr.,6,3,52
TE,9,Dallas Goedert,5,3,58
TE,10,Kyle Pitts Sr.,4,4,55
TE,11,Travis Kelce,2,4,57
TE,12,Mark Andrews,0,4,59
TE,13,Isaiah Likely,-1,4,60
TE,14,Dalton Kincaid,-2,4,61
TE,15,Hunter Henry,-8,5,63
TE,16,Jake Ferguson,-9,5,62
TE,17,Brenton Strange,-10,5,65
TE,18,Juwan Johnson,-11,5,64
TE,19,Dalton Schultz,-18,6,66
TE,20,Terrance Ferguson,-18,6,73
TE,21,Pat Freiermuth,-20,6,68
TE,22,Kenyon Sadiq,-21,6,69
TE,23,T.J. Hockenson,-21,6,67
TE,24,AJ Barner,-22,6,71
TE,25,Cade Otton,-23,6,70
TE,26,Greg Dulcich,-23,6,72
TE,27,Chig Okonkwo,-24,6,74
TE,28,Oronde Gadsden II,-29,7,78
TE,29,David Njoku,-30,7,77
TE,30,Gunnar Helm,-31,7,75
TE,31,Evan Engram,-32,7,76
TE,32,Colby Parkinson,-33,7,80
TE,33,Mike Gesicki,-34,7,79
TE,34,Mason Taylor,-38,8,81
TE,35,Theo Johnson,-40,8,82
TE,36,Eli Stowers,-55,10,83
TE,37,Jake Tonges,-56,10,84
RB,1,Jahmyr Gibbs,134,1,5
RB,2,Bijan Robinson,118,1,6
RB,3,Jonathan Taylor,107,2,8
RB,4,Christian McCaffrey,101,2,7
RB,5,Derrick Henry,92,2,10
RB,6,James Cook III,89,3,11
RB,7,De'Von Achane,78,3,9
RB,8,Saquon Barkley,75,3,13
RB,9,Chase Brown,73,3,12
RB,10,Jeremiyah Love,66,4,17
RB,11,Kenneth Walker III,65,4,14
RB,12,Josh Jacobs,63,4,18
RB,13,Kyren Williams,62,4,19
RB,14,Ashton Jeanty,61,4,15
RB,15,Omarion Hampton,60,4,16
RB,16,Javonte Williams,59,4,21
RB,17,Breece Hall,57,4,20
RB,18,Cam Skattebo,50,4,23
RB,19,Travis Etienne Jr.,50,4,22
RB,20,D'Andre Swift,47,5,24
RB,21,Bucky Irving,45,5,25
RB,22,Quinshon Judkins,44,5,26
RB,23,Bhayshul Tuten,41,5,27
RB,24,Jadarian Price,41,5,28
RB,25,David Montgomery,35,5,29
RB,26,TreVeyon Henderson,25,6,30
RB,27,Tony Pollard,22,6,32
RB,28,Rhamondre Stevenson,20,6,33
RB,29,Jaylen Warren,19,6,31
RB,30,J.K. Dobbins,18,6,35
RB,31,Rico Dowdle,18,6,34
RB,32,Jonathon Brooks,8,6,37
RB,33,Chuba Hubbard,7,7,36
RB,34,Jacory Croskey-Merritt,5,7,40
RB,35,Kyle Monangai,1,7,38
RB,36,Blake Corum,0,7,45
RB,37,Jordan Mason,-1,7,44
RB,38,Rachaad White,-3,7,41
RB,39,RJ Harvey,-5,7,39
RB,40,Aaron Jones Sr.,-7,7,43
RB,41,Kenny Gainwell,-7,7,42
RB,42,Mike Washington Jr.,-11,8,46
RB,43,Kaelon Black,-19,8,51
RB,44,Woody Marks,-19,8,47
RB,45,Jonah Coleman,-20,8,49
RB,46,Chris Rodriguez Jr.,-23,8,52
RB,47,Zach Charbonnet,-23,8,50
RB,48,Tyjae Spears,-25,8,48
RB,49,Isiah Pacheco,-29,8,54
RB,50,Alvin Kamara,-31,9,53
RB,51,Tyler Allgeier,-31,9,55
RB,52,Emmett Johnson,-34,9,60
RB,53,Tank Bigsby,-34,9,59
RB,54,Braelon Allen,-35,9,58
RB,55,Brian Robinson Jr.,-36,9,62
RB,56,Tyrone Tracy Jr.,-36,9,57
RB,57,Dylan Sampson,-39,9,56
RB,58,Keaton Mitchell,-39,9,61
RB,59,Kaytron Allen,-40,9,64
RB,60,Nicholas Singleton,-40,9,65
RB,61,Justice Hill,-44,9,63
RB,62,Demond Claiborne,-45,9,67
RB,63,Samaje Perine,-45,9,66
RB,64,Ty Johnson,-53,10,68
RB,65,Jordan James,-54,10,69
RB,66,Kimani Vidal,-56,10,70
RB,67,Jaydon Blue,-57,10,73
