season,round,pick_in_round,overall_pick,manager,player,keeper_flag,position,nominal_slot,home_slot,slot_deviation,anomaly_type
2018,1,1,1,Ori,Todd Gurley,False,RB,1,1,False,
2018,1,2,2,Big Leiber,Le'Veon Bell,False,RB,2,2,False,
2018,1,3,3,Jeff,Ezekiel Elliott,False,RB,3,3,False,
2018,1,4,4,Greenspan,Antonio Brown,False,WR,4,4,False,
2018,1,5,5,Nalick,David Johnson,False,TE,5,5,False,
2018,1,6,6,Danziger,Alvin Kamara,False,RB,6,6,False,
2018,1,7,7,Tompkins,Aaron Rodgers,False,QB,7,7,False,
2018,1,8,8,Goldberg,Leonard Fournette,False,RB,8,8,False,
2018,1,9,9,Barry,Saquon Barkley,False,RB,9,9,False,
2018,1,10,10,Abe,Odell Beckham Jr.,False,WR,10,10,False,
2018,2,1,11,Abe,Kareem Hunt,False,RB,10,10,False,
2018,2,2,12,Barry,Julio Jones,False,WR,9,9,False,
2018,2,3,13,Goldberg,Melvin Gordon III,False,RB,8,8,False,
2018,2,4,14,Tompkins,Michael Thomas,False,WR,7,7,False,
2018,2,5,15,Danziger,Dalvin Cook,False,RB,6,6,False,
2018,2,6,16,Nalick,Keenan Allen,False,WR,5,5,False,
2018,2,7,17,Greenspan,Russell Wilson,False,QB,4,4,False,
2018,2,8,18,Jeff,DeAndre Hopkins,False,WR,3,3,False,
2018,2,9,19,Big Leiber,Tom Brady,False,QB,2,2,False,
2018,2,10,20,Ori,Drew Brees,False,QB,1,1,False,
2018,3,1,21,Ori,Davante Adams,False,WR,1,1,False,
2018,3,2,22,Big Leiber,A.J. Green,False,WR,2,2,False,
2018,3,3,23,Jeff,Tyreek Hill,False,WR,3,3,False,
2018,3,4,24,Greenspan,Rob Gronkowski,False,TE,4,4,False,
2018,3,5,25,Nalick,Travis Kelce,False,TE,5,5,False,
2018,3,6,26,Danziger,Jordan Howard,False,RB,6,6,False,
2018,3,7,27,Tompkins,Christian McCaffrey,False,RB,7,7,False,
2018,3,8,28,Goldberg,Cam Newton,False,QB,8,8,False,
2018,3,9,29,Barry,Devonta Freeman,False,RB,9,9,False,
2018,3,10,30,Abe,Mike Evans,False,WR,10,10,False,
2018,4,1,31,Abe,Joe Mixon,False,RB,10,10,False,
2018,4,2,32,Barry,Carson Wentz,False,QB,9,9,False,
2018,4,3,33,Goldberg,T.Y. Hilton,False,WR,8,8,False,
2018,4,4,34,Tompkins,Royce Freeman,False,RB,7,7,False,
2018,4,5,35,Danziger,Kirk Cousins,False,QB,6,6,False,
2018,4,6,36,Nalick,Amari Cooper,False,WR,5,5,False,
2018,4,7,37,Greenspan,JuJu Smith-Schuster,False,WR,4,4,False,
2018,4,8,38,Jeff,Ben Roethlisberger,False,QB,3,3,False,
2018,4,9,39,Big Leiber,Andrew Luck,False,QB,2,2,False,
2018,4,10,40,Ori,Alex Collins,False,RB,1,1,False,
2018,5,1,41,Ori,Stefon Diggs,False,WR,1,1,False,
2018,5,2,42,Big Leiber,Larry Fitzgerald,False,WR,2,2,False,
2018,5,3,43,Jeff,Kenyan Drake,False,RB,3,3,False,
2018,5,4,44,Greenspan,Jarvis Landry,False,WR,4,4,False,
2018,5,5,45,Nalick,Derrick Henry,False,RB,5,5,False,
2018,5,6,46,Danziger,Marvin Jones Jr.,False,WR,6,6,False,
2018,5,7,47,Tompkins,Matthew Stafford,False,QB,7,7,False,
2018,5,8,48,Goldberg,Doug Baldwin,False,WR,8,8,False,
2018,5,9,49,Barry,Philip Rivers,False,QB,9,9,False,
2018,5,10,50,Abe,Jimmy Garoppolo,False,QB,10,10,False,
2018,6,1,51,Abe,Jared Goff,False,QB,10,10,False,
2018,6,2,52,Barry,Jay Ajayi,False,RB,9,9,False,
2018,6,3,53,Goldberg,Alex Smith,False,QB,8,8,False,
2018,6,4,54,Tompkins,LeSean McCoy,False,RB,7,7,False,
2018,6,5,55,Danziger,Demaryius Thomas,False,WR,6,6,False,
2018,6,6,56,Nalick,Matt Ryan,False,QB,5,5,False,
2018,6,7,57,Greenspan,Lamar Miller,False,RB,4,4,False,
2018,6,8,58,Jeff,Josh Gordon,False,WR,3,3,False,
2018,6,9,59,Big Leiber,Allen Robinson,False,WR,2,2,False,
2018,6,10,60,Ori,Golden Tate,False,WR,1,1,False,
2018,7,1,61,Ori,Marcus Mariota,False,QB,1,1,False,
2018,7,2,62,Big Leiber,Rex Burkhead,False,RB,2,2,False,
2018,7,3,63,Jeff,Patrick Mahomes,True,QB,3,3,False,
2018,7,4,64,Greenspan,Chris Hogan,False,WR,4,4,False,
2018,7,5,65,Nalick,Zach Ertz,True,TE,5,5,False,
2018,7,6,66,Danziger,Jimmy Graham,False,TE,6,6,False,
2018,7,7,67,Tompkins,Mark Ingram II,False,WR,7,7,False,
2018,7,8,68,Goldberg,Brandin Cooks,False,WR,8,8,False,
2018,7,9,69,Barry,Greg Olsen,False,TE,9,9,False,
2018,7,10,70,Abe,Kyle Rudolph,False,TE,10,10,False,
2018,8,1,71,Abe,Marquise Goodwin,False,WR,10,10,False,
2018,8,2,72,Barry,Emmanuel Sanders,False,WR,9,9,False,
2018,8,3,73,Goldberg,Dak Prescott,False,QB,8,8,False,
2018,8,4,74,Tompkins,Michael Crabtree,False,WR,7,7,False,
2018,8,5,75,Danziger,Devin Funchess,False,WR,6,6,False,
2018,8,6,76,Nalick,Derek Carr,False,QB,5,5,False,
2018,8,7,77,Greenspan,Marshawn Lynch,False,RB,4,4,False,
2018,8,8,78,Jeff,Alfred Morris,False,RB,3,3,False,
2018,8,9,79,Big Leiber,Dion Lewis,False,RB,2,2,False,
2018,8,10,80,Ori,Carlos Hyde,False,RB,1,1,False,
2018,9,1,81,Ori,Corey Davis,False,WR,1,1,False,
2018,9,2,82,Big Leiber,Adam Thielen,False,WR,2,2,False,
2018,9,3,83,Jeff,Nelson Agholor,False,WR,3,3,False,
2018,9,4,84,Greenspan,Jamaal Williams,False,RB,4,4,False,
2018,9,5,85,Nalick,Chris Carson,True,RB,5,5,False,
2018,9,6,86,Danziger,Alshon Jeffery,False,WR,6,6,False,
2018,9,7,87,Tompkins,Evan Engram,False,TE,7,7,False,
2018,9,8,88,Goldberg,Delanie Walker,False,TE,8,8,False,
2018,9,9,89,Barry,Blake Bortles,False,QB,9,9,False,
2018,9,10,90,Abe,Tevin Coleman,False,RB,10,10,False,
2018,10,1,91,Abe,Robert Woods,False,WR,10,10,False,
2018,10,2,92,Barry,Robbie Chosen,False,WR,9,9,False,
2018,10,3,93,Goldberg,Isaiah Crowell,False,RB,8,8,False,
2018,10,4,94,Tompkins,Cooper Kupp,False,WR,7,7,False,
2018,10,5,95,Danziger,Deshaun Watson,True,QB,6,6,False,
2018,10,6,96,Nalick,Jameis Winston,False,QB,5,5,False,
2018,10,7,97,Greenspan,Case Keenum,False,QB,4,4,False,
2018,10,8,98,Jeff,Eli Manning,False,QB,3,3,False,
2018,10,9,99,Big Leiber,Kerryon Johnson,False,RB,2,2,False,
2018,10,10,100,Ori,Sammy Watkins,False,WR,1,1,False,
2018,11,1,101,Ori,Mitchell Trubisky,False,QB,1,1,False,
2018,11,2,102,Big Leiber,Tyrod Taylor,False,QB,2,2,False,
2018,11,3,103,Jeff,Trey Burton,False,TE,3,3,False,
2018,11,4,104,Greenspan,Will Fuller V,False,WR,4,4,False,
2018,11,5,105,Nalick,Kenny Stills,False,WR,5,5,False,
2018,11,6,106,Danziger,Pierre Garcon,False,WR,6,6,False,
2018,11,7,107,Tompkins,Jordy Nelson,False,WR,7,7,False,
2018,11,8,108,Goldberg,Marlon Mack,True,RB,8,8,False,
2018,11,9,109,Barry,Kenneth Barber,False,UNKNOWN,9,9,False,
2018,11,10,110,Abe,Tarik Cohen,False,RB,10,10,False,
2018,12,1,111,Abe,Sterling Shepard,False,WR,10,10,False,
2018,12,2,112,Barry,Julian Edelman,False,WR,9,9,False,
2018,12,3,113,Goldberg,Jamison Crowder,False,WR,8,8,False,
2018,12,4,114,Tompkins,Tyler Lockett,False,WR,7,7,False,
2018,12,5,115,Danziger,Latavius Murray,False,RB,6,6,False,
2018,12,6,116,Nalick,Aaron Jones Sr.,False,RB,5,5,False,
2018,12,7,117,Greenspan,Adrian Peterson,False,RB,4,4,False,
2018,12,8,118,Jeff,Andy Dalton,False,QB,3,3,False,
