provider,player,position,team,bye,adp,high,low,stdev,sample_size,player_url
ffc,Josh Allen,QB,BUF,7,1.6,1,4,0.8,738,
ffc,Jahmyr Gibbs,RB,DET,6,1.9,1,4,0.8,590,
ffc,Bijan Robinson,RB,ATL,11,2.6,1,4,0.6,361,
ffc,Puka Nacua,WR,LAR,11,5.0,1,13,1.7,384,
ffc,Jonathan Taylor,RB,IND,13,5.8,3,10,1.5,338,
ffc,Drake Maye,QB,NE,11,6.1,1,15,2.4,447,
ffc,Lamar Jackson,QB,BAL,13,7.6,1,17,2.8,792,
ffc,Ja'Marr Chase,WR,CIN,6,8.3,1,26,4.2,1203,
ffc,Joe Burrow,QB,CIN,6,8.3,1,17,2.9,621,
ffc,Jaxon Smith-Njigba,WR,SEA,11,10.5,1,30,4.6,599,
ffc,Christian McCaffrey,RB,SF,8,10.9,3,20,2.9,832,
ffc,Derrick Henry,RB,BAL,13,11.7,4,23,2.9,292,
ffc,Dak Prescott,QB,DAL,14,12.5,4,19,3.0,463,
ffc,Jayden Daniels,QB,WAS,7,13.2,5,22,3.1,512,
ffc,Amon-Ra St. Brown,WR,DET,6,15.5,5,32,4.5,967,
ffc,Jalen Hurts,QB,PHI,10,16.4,7,29,3.4,366,
ffc,Matthew Stafford,QB,LAR,11,17.2,9,30,2.9,327,
ffc,James Cook III,RB,BUF,7,17.2,5,30,4.7,1135,
ffc,Brock Purdy,QB,SF,8,18.5,9,30,4.3,124,
ffc,Trevor Lawrence,QB,JAX,7,18.5,4,37,5.3,297,
ffc,Patrick Mahomes,QB,KC,5,21.9,8,42,5.1,277,
ffc,Caleb Williams,QB,CHI,10,22.2,7,45,5.5,501,
ffc,De'Von Achane,RB,MIA,6,22.5,9,35,4.8,508,
ffc,Jared Goff,QB,DET,6,24.5,12,49,5.2,293,
ffc,Justin Herbert,QB,LAC,7,24.9,11,45,5.1,591,
ffc,Drake London,WR,ATL,11,25.0,12,36,4.9,171,
ffc,Saquon Barkley,RB,PHI,10,26.0,12,40,5.1,1281,
ffc,CeeDee Lamb,WR,DAL,14,26.0,11,43,5.6,1125,
ffc,Jaxson Dart,QB,NYG,8,28.4,16,58,7.6,188,
ffc,Ashton Jeanty,RB,LV,13,28.9,12,47,6.3,1043,
ffc,Justin Jefferson,WR,MIN,6,29.2,11,46,6.8,1178,
ffc,Bo Nix,QB,DEN,10,31.1,19,56,6.8,337,
ffc,Chase Brown,RB,CIN,6,32.9,15,53,6.7,1184,
ffc,George Pickens,WR,DAL,14,33.2,19,44,5.2,233,
ffc,Rashee Rice,WR,KC,5,34.1,14,59,10.9,236,
ffc,Josh Jacobs,RB,GB,11,34.2,18,49,6.2,189,
ffc,A.J. Brown,WR,NE,11,34.5,21,43,4.9,563,
ffc,Nico Collins,WR,HOU,8,37.2,25,48,4.3,311,
ffc,Omarion Hampton,RB,LAC,7,38.2,21,54,6.3,1127,
ffc,Baker Mayfield,QB,TB,10,40.3,23,72,8.3,597,
ffc,Kenneth Walker,RB,KC,5,40.8,20,58,7.8,1008,
ffc,Kyren Williams,RB,LAR,11,41.9,28,54,5.0,429,
ffc,Zay Flowers,WR,BAL,13,42.3,33,55,3.8,109,
ffc,Chris Olave,WR,NO,8,42.6,26,58,6.2,337,
ffc,Breece Hall,RB,NYJ,13,47.3,33,65,5.3,207,
ffc,Tyler Shough,QB,NO,8,47.4,25,76,8.6,679,
ffc,Javonte Williams,RB,DAL,14,47.8,34,58,5.0,394,
ffc,Jeremiyah Love,RB,ARI,14,48.8,32,65,6.3,429,
ffc,Emeka Egbuka,WR,TB,10,50.9,33,73,6.8,754,
ffc,Tee Higgins,WR,CIN,6,51.0,37,65,5.4,269,
ffc,Malik Nabers,WR,NYG,8,51.6,22,96,11.2,882,
ffc,Cam Skattebo,RB,NYG,8,52.4,38,70,5.4,444,
ffc,Davante Adams,WR,LAR,11,52.7,38,66,5.8,212,
ffc,Tetairoa McMillan,WR,CAR,5,53.3,38,68,5.8,336,
